# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2018-10-03 14:57:05 EDT       (sdww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 02105769 CAPE FEAR R AT LOCK #1 NR KELLY, NC
# -----------------------------------------------------------------------------------
#
# Data provided for site 02105769
#            TS   parameter     Description
#         89688       00060     Discharge, cubic feet per second
#
# Data-value qualification codes included in this output:
#     P  Provisional data subject to revision.
# 
agency_cd	site_no	datetime	tz_cd	89688_00060	89688_00060_cd
USGS	02105769	2018-09-25 05:15	EDT	60000	P
USGS	02105769	2018-09-25 05:30	EDT	59900	P
USGS	02105769	2018-09-25 05:45	EDT	59700	P
USGS	02105769	2018-09-25 06:00	EDT	59700	P
USGS	02105769	2018-09-25 06:15	EDT	59600	P
USGS	02105769	2018-09-25 06:30	EDT	59400	P
USGS	02105769	2018-09-25 06:45	EDT	59300	P
USGS	02105769	2018-09-25 07:00	EDT	59200	P
USGS	02105769	2018-09-25 07:15	EDT	59100	P
USGS	02105769	2018-09-25 07:30	EDT	59000	P
USGS	02105769	2018-09-25 07:45	EDT	58800	P
USGS	02105769	2018-09-25 08:00	EDT	58700	P
USGS	02105769	2018-09-25 08:15	EDT	58600	P
USGS	02105769	2018-09-25 08:30	EDT	58500	P
USGS	02105769	2018-09-25 08:45	EDT	58500	P
USGS	02105769	2018-09-25 09:00	EDT	58400	P
USGS	02105769	2018-09-25 09:15	EDT	58300	P
USGS	02105769	2018-09-25 09:30	EDT	58200	P
USGS	02105769	2018-09-25 09:45	EDT	57900	P
USGS	02105769	2018-09-25 10:00	EDT	58000	P
USGS	02105769	2018-09-25 10:15	EDT	57700	P
USGS	02105769	2018-09-25 10:30	EDT	57600	P
USGS	02105769	2018-09-25 10:45	EDT	57500	P
USGS	02105769	2018-09-25 11:00	EDT	57400	P
USGS	02105769	2018-09-25 11:15	EDT	57200	P
USGS	02105769	2018-09-25 11:30	EDT	57100	P
USGS	02105769	2018-09-25 11:45	EDT	57000	P
USGS	02105769	2018-09-25 12:00	EDT	57000	P
USGS	02105769	2018-09-25 12:15	EDT	56800	P
USGS	02105769	2018-09-25 12:30	EDT	56600	P
USGS	02105769	2018-09-25 12:45	EDT	56500	P
USGS	02105769	2018-09-25 13:00	EDT	56500	P
USGS	02105769	2018-09-25 13:15	EDT	56300	P
USGS	02105769	2018-09-25 13:30	EDT	56300	P
USGS	02105769	2018-09-25 13:45	EDT	56200	P
USGS	02105769	2018-09-25 14:00	EDT	56100	P
USGS	02105769	2018-09-25 14:15	EDT	56000	P
USGS	02105769	2018-09-25 14:30	EDT	55700	P
USGS	02105769	2018-09-25 14:45	EDT	55600	P
USGS	02105769	2018-09-25 15:00	EDT	55500	P
USGS	02105769	2018-09-25 15:15	EDT	55400	P
USGS	02105769	2018-09-25 15:30	EDT	55300	P
USGS	02105769	2018-09-25 15:45	EDT	55200	P
USGS	02105769	2018-09-25 16:00	EDT	55200	P
USGS	02105769	2018-09-25 16:15	EDT	55100	P
USGS	02105769	2018-09-25 16:30	EDT	54800	P
USGS	02105769	2018-09-25 16:45	EDT	54700	P
USGS	02105769	2018-09-25 17:00	EDT	54600	P
USGS	02105769	2018-09-25 17:15	EDT	54500	P
USGS	02105769	2018-09-25 17:30	EDT	54300	P
USGS	02105769	2018-09-25 17:45	EDT	54300	P
USGS	02105769	2018-09-25 18:00	EDT	54100	P
USGS	02105769	2018-09-25 18:15	EDT	54100	P
USGS	02105769	2018-09-25 18:30	EDT	54000	P
USGS	02105769	2018-09-25 18:45	EDT	53700	P
USGS	02105769	2018-09-25 19:00	EDT	53600	P
USGS	02105769	2018-09-25 19:15	EDT	53500	P
USGS	02105769	2018-09-25 19:30	EDT	53400	P
USGS	02105769	2018-09-25 19:45	EDT	53300	P
USGS	02105769	2018-09-25 20:00	EDT	53100	P
USGS	02105769	2018-09-25 20:15	EDT	52900	P
USGS	02105769	2018-09-25 20:30	EDT	53000	P
USGS	02105769	2018-09-25 20:45	EDT	52800	P
USGS	02105769	2018-09-25 21:00	EDT	52500	P
USGS	02105769	2018-09-25 21:15	EDT	52300	P
USGS	02105769	2018-09-25 21:30	EDT	52300	P
USGS	02105769	2018-09-25 21:45	EDT	52200	P
USGS	02105769	2018-09-25 22:00	EDT	51900	P
USGS	02105769	2018-09-25 22:15	EDT	51900	P
USGS	02105769	2018-09-25 22:30	EDT	51800	P
USGS	02105769	2018-09-25 22:45	EDT	51500	P
USGS	02105769	2018-09-25 23:00	EDT	51500	P
USGS	02105769	2018-09-25 23:15	EDT	51200	P
USGS	02105769	2018-09-25 23:30	EDT	51100	P
USGS	02105769	2018-09-25 23:45	EDT	51000	P
USGS	02105769	2018-09-26 00:00	EDT	50800	P
USGS	02105769	2018-09-26 00:15	EDT	50600	P
USGS	02105769	2018-09-26 00:30	EDT	50500	P
USGS	02105769	2018-09-26 00:45	EDT	50400	P
USGS	02105769	2018-09-26 01:00	EDT	50200	P
USGS	02105769	2018-09-26 01:15	EDT	50100	P
USGS	02105769	2018-09-26 01:30	EDT	49900	P
USGS	02105769	2018-09-26 01:45	EDT	49800	P
USGS	02105769	2018-09-26 02:00	EDT	49500	P
USGS	02105769	2018-09-26 02:15	EDT	49500	P
USGS	02105769	2018-09-26 02:30	EDT	49400	P
USGS	02105769	2018-09-26 02:45	EDT	49200	P
USGS	02105769	2018-09-26 03:00	EDT	48900	P
USGS	02105769	2018-09-26 03:15	EDT	48900	P
USGS	02105769	2018-09-26 03:30	EDT	48700	P
USGS	02105769	2018-09-26 03:45	EDT	48500	P
USGS	02105769	2018-09-26 04:00	EDT	48400	P
USGS	02105769	2018-09-26 04:15	EDT	48100	P
USGS	02105769	2018-09-26 04:30	EDT	48000	P
USGS	02105769	2018-09-26 04:45	EDT	48000	P
USGS	02105769	2018-09-26 05:00	EDT	47700	P
USGS	02105769	2018-09-26 05:15	EDT	47800	P
USGS	02105769	2018-09-26 05:30	EDT	47400	P
USGS	02105769	2018-09-26 05:45	EDT	47400	P
USGS	02105769	2018-09-26 06:00	EDT	47300	P
USGS	02105769	2018-09-26 06:15	EDT	47100	P
USGS	02105769	2018-09-26 06:30	EDT	46900	P
USGS	02105769	2018-09-26 06:45	EDT	46800	P
USGS	02105769	2018-09-26 07:00	EDT	46600	P
USGS	02105769	2018-09-26 07:15	EDT	46500	P
USGS	02105769	2018-09-26 07:30	EDT	46300	P
USGS	02105769	2018-09-26 07:45	EDT	46100	P
USGS	02105769	2018-09-26 08:00	EDT	46100	P
USGS	02105769	2018-09-26 08:15	EDT	46000	P
USGS	02105769	2018-09-26 08:30	EDT	45700	P
USGS	02105769	2018-09-26 08:45	EDT	45600	P
USGS	02105769	2018-09-26 09:00	EDT	45400	P
USGS	02105769	2018-09-26 09:15	EDT	45300	P
USGS	02105769	2018-09-26 09:30	EDT	45200	P
USGS	02105769	2018-09-26 09:45	EDT	44900	P
USGS	02105769	2018-09-26 10:00	EDT	44700	P
USGS	02105769	2018-09-26 10:15	EDT	44700	P
USGS	02105769	2018-09-26 10:30	EDT	44500	P
USGS	02105769	2018-09-26 10:45	EDT	44300	P
USGS	02105769	2018-09-26 11:00	EDT	44200	P
USGS	02105769	2018-09-26 11:15	EDT	44200	P
USGS	02105769	2018-09-26 11:30	EDT	44100	P
USGS	02105769	2018-09-26 11:45	EDT	44000	P
USGS	02105769	2018-09-26 12:00	EDT	43500	P
USGS	02105769	2018-09-26 12:15	EDT	43300	P
USGS	02105769	2018-09-26 12:30	EDT	43100	P
USGS	02105769	2018-09-26 12:45	EDT	43000	P
USGS	02105769	2018-09-26 13:00	EDT	42800	P
USGS	02105769	2018-09-26 13:15	EDT	42500	P
USGS	02105769	2018-09-26 13:30	EDT	42300	P
USGS	02105769	2018-09-26 13:45	EDT	42200	P
USGS	02105769	2018-09-26 14:00	EDT	41900	P
USGS	02105769	2018-09-26 14:15	EDT	41600	P
USGS	02105769	2018-09-26 14:30	EDT	41600	P
USGS	02105769	2018-09-26 14:45	EDT	41400	P
USGS	02105769	2018-09-26 15:00	EDT	41300	P
USGS	02105769	2018-09-26 15:15	EDT	41100	P
USGS	02105769	2018-09-26 15:30	EDT	40800	P
USGS	02105769	2018-09-26 15:45	EDT	40600	P
USGS	02105769	2018-09-26 16:00	EDT	40300	P
USGS	02105769	2018-09-26 16:15	EDT	40300	P
USGS	02105769	2018-09-26 16:30	EDT	40000	P
USGS	02105769	2018-09-26 16:45	EDT	39900	P
USGS	02105769	2018-09-26 17:00	EDT	39700	P
USGS	02105769	2018-09-26 17:15	EDT	39400	P
USGS	02105769	2018-09-26 17:30	EDT	39300	P
USGS	02105769	2018-09-26 17:45	EDT	39200	P
USGS	02105769	2018-09-26 18:00	EDT	38900	P
USGS	02105769	2018-09-26 18:15	EDT	38800	P
USGS	02105769	2018-09-26 18:30	EDT	38600	P
USGS	02105769	2018-09-26 18:45	EDT	38200	P
USGS	02105769	2018-09-26 19:00	EDT	38000	P
USGS	02105769	2018-09-26 19:15	EDT	37900	P
USGS	02105769	2018-09-26 19:30	EDT	37600	P
USGS	02105769	2018-09-26 19:45	EDT	37400	P
USGS	02105769	2018-09-26 20:00	EDT	37100	P
USGS	02105769	2018-09-26 20:15	EDT	37000	P
USGS	02105769	2018-09-26 20:30	EDT	36900	P
USGS	02105769	2018-09-26 20:45	EDT	36600	P
USGS	02105769	2018-09-26 21:00	EDT	36400	P
USGS	02105769	2018-09-26 21:15	EDT	36200	P
USGS	02105769	2018-09-26 21:30	EDT	36000	P
USGS	02105769	2018-09-26 21:45	EDT	35800	P
USGS	02105769	2018-09-26 22:00	EDT	35700	P
USGS	02105769	2018-09-26 22:15	EDT	35400	P
USGS	02105769	2018-09-26 22:30	EDT	35300	P
USGS	02105769	2018-09-26 22:45	EDT	35000	P
USGS	02105769	2018-09-26 23:00	EDT	34700	P
USGS	02105769	2018-09-26 23:15	EDT	34700	P
USGS	02105769	2018-09-26 23:30	EDT	34400	P
USGS	02105769	2018-09-26 23:45	EDT	34300	P
USGS	02105769	2018-09-27 00:00	EDT	34100	P
USGS	02105769	2018-09-27 00:15	EDT	33800	P
USGS	02105769	2018-09-27 00:30	EDT	33700	P
USGS	02105769	2018-09-27 00:45	EDT	33500	P
USGS	02105769	2018-09-27 01:00	EDT	33400	P
USGS	02105769	2018-09-27 01:15	EDT	33300	P
USGS	02105769	2018-09-27 01:30	EDT	33100	P
USGS	02105769	2018-09-27 01:45	EDT	32900	P
USGS	02105769	2018-09-27 02:00	EDT	32600	P
USGS	02105769	2018-09-27 02:15	EDT	32400	P
USGS	02105769	2018-09-27 02:30	EDT	32300	P
USGS	02105769	2018-09-27 02:45	EDT	32100	P
USGS	02105769	2018-09-27 03:00	EDT	31900	P
USGS	02105769	2018-09-27 03:15	EDT	31800	P
USGS	02105769	2018-09-27 03:30	EDT	31600	P
USGS	02105769	2018-09-27 03:45	EDT	31400	P
USGS	02105769	2018-09-27 04:00	EDT	31200	P
USGS	02105769	2018-09-27 04:15	EDT	31000	P
USGS	02105769	2018-09-27 04:30	EDT	30900	P
USGS	02105769	2018-09-27 04:45	EDT	30800	P
USGS	02105769	2018-09-27 05:00	EDT	30700	P
USGS	02105769	2018-09-27 05:15	EDT	30500	P
USGS	02105769	2018-09-27 05:30	EDT	30300	P
USGS	02105769	2018-09-27 05:45	EDT	30200	P
USGS	02105769	2018-09-27 06:00	EDT	30000	P
USGS	02105769	2018-09-27 06:15	EDT	29700	P
USGS	02105769	2018-09-27 06:30	EDT	29600	P
USGS	02105769	2018-09-27 06:45	EDT	29400	P
USGS	02105769	2018-09-27 07:00	EDT	29200	P
USGS	02105769	2018-09-27 07:15	EDT	29100	P
USGS	02105769	2018-09-27 07:30	EDT	29000	P
USGS	02105769	2018-09-27 07:45	EDT	28800	P
USGS	02105769	2018-09-27 08:00	EDT	28600	P
USGS	02105769	2018-09-27 08:15	EDT	28500	P
USGS	02105769	2018-09-27 08:30	EDT	28300	P
USGS	02105769	2018-09-27 08:45	EDT	28200	P
USGS	02105769	2018-09-27 09:00	EDT	28000	P
USGS	02105769	2018-09-27 09:15	EDT	27900	P
USGS	02105769	2018-09-27 09:30	EDT	27800	P
USGS	02105769	2018-09-27 09:45	EDT	27600	P
USGS	02105769	2018-09-27 10:00	EDT	27400	P
USGS	02105769	2018-09-27 10:15	EDT	27400	P
USGS	02105769	2018-09-27 10:30	EDT	27200	P
USGS	02105769	2018-09-27 10:45	EDT	27000	P
USGS	02105769	2018-09-27 11:00	EDT	26900	P
USGS	02105769	2018-09-27 11:15	EDT	26800	P
USGS	02105769	2018-09-27 11:30	EDT	26600	P
USGS	02105769	2018-09-27 11:45	EDT	26400	P
USGS	02105769	2018-09-27 12:00	EDT	26400	P
USGS	02105769	2018-09-27 12:15	EDT	26200	P
USGS	02105769	2018-09-27 12:30	EDT	26100	P
USGS	02105769	2018-09-27 12:45	EDT	25800	P
USGS	02105769	2018-09-27 13:00	EDT	25800	P
USGS	02105769	2018-09-27 13:15	EDT	25600	P
USGS	02105769	2018-09-27 13:30	EDT	25600	P
USGS	02105769	2018-09-27 13:45	EDT	25400	P
USGS	02105769	2018-09-27 14:00	EDT	25200	P
USGS	02105769	2018-09-27 14:15	EDT	25200	P
USGS	02105769	2018-09-27 14:30	EDT	25000	P
USGS	02105769	2018-09-27 14:45	EDT	24900	P
USGS	02105769	2018-09-27 15:00	EDT	24700	P
USGS	02105769	2018-09-27 15:15	EDT	24700	P
USGS	02105769	2018-09-27 15:30	EDT	24500	P
USGS	02105769	2018-09-27 15:45	EDT	24400	P
USGS	02105769	2018-09-27 16:00	EDT	24200	P
USGS	02105769	2018-09-27 16:15	EDT	24100	P
USGS	02105769	2018-09-27 16:30	EDT	24000	P
USGS	02105769	2018-09-27 16:45	EDT	24000	P
USGS	02105769	2018-09-27 17:00	EDT	23800	P
USGS	02105769	2018-09-27 17:15	EDT	23700	P
USGS	02105769	2018-09-27 17:30	EDT	23500	P
USGS	02105769	2018-09-27 17:45	EDT	23500	P
USGS	02105769	2018-09-27 18:00	EDT	23300	P
USGS	02105769	2018-09-27 18:15	EDT	23200	P
USGS	02105769	2018-09-27 18:30	EDT	23100	P
USGS	02105769	2018-09-27 18:45	EDT	23000	P
USGS	02105769	2018-09-27 19:00	EDT	22900	P
USGS	02105769	2018-09-27 19:15	EDT	22800	P
USGS	02105769	2018-09-27 19:30	EDT	22600	P
USGS	02105769	2018-09-27 19:45	EDT	22600	P
USGS	02105769	2018-09-27 20:00	EDT	22500	P
USGS	02105769	2018-09-27 20:15	EDT	22300	P
USGS	02105769	2018-09-27 20:30	EDT	22300	P
USGS	02105769	2018-09-27 20:45	EDT	22200	P
USGS	02105769	2018-09-27 21:00	EDT	22000	P
USGS	02105769	2018-09-27 21:15	EDT	21900	P
USGS	02105769	2018-09-27 21:30	EDT	21800	P
USGS	02105769	2018-09-27 21:45	EDT	21800	P
USGS	02105769	2018-09-27 22:00	EDT	21600	P
USGS	02105769	2018-09-27 22:15	EDT	21600	P
USGS	02105769	2018-09-27 22:30	EDT	21400	P
USGS	02105769	2018-09-27 22:45	EDT	21400	P
USGS	02105769	2018-09-27 23:00	EDT	21300	P
USGS	02105769	2018-09-27 23:15	EDT	21300	P
USGS	02105769	2018-09-27 23:30	EDT	21100	P
USGS	02105769	2018-09-27 23:45	EDT	21100	P
USGS	02105769	2018-09-28 00:00	EDT	20900	P
USGS	02105769	2018-09-28 00:15	EDT	20800	P
USGS	02105769	2018-09-28 00:30	EDT	20800	P
USGS	02105769	2018-09-28 00:45	EDT	20700	P
USGS	02105769	2018-09-28 01:00	EDT	20600	P
USGS	02105769	2018-09-28 01:15	EDT	20600	P
USGS	02105769	2018-09-28 01:30	EDT	20400	P
USGS	02105769	2018-09-28 01:45	EDT	20400	P
USGS	02105769	2018-09-28 02:00	EDT	20300	P
USGS	02105769	2018-09-28 02:15	EDT	20200	P
USGS	02105769	2018-09-28 02:30	EDT	20100	P
USGS	02105769	2018-09-28 02:45	EDT	20100	P
USGS	02105769	2018-09-28 03:00	EDT	20000	P
USGS	02105769	2018-09-28 03:15	EDT	20000	P
USGS	02105769	2018-09-28 03:30	EDT	19800	P
USGS	02105769	2018-09-28 03:45	EDT	19800	P
USGS	02105769	2018-09-28 04:00	EDT	19600	P
USGS	02105769	2018-09-28 04:15	EDT	19600	P
USGS	02105769	2018-09-28 04:30	EDT	19600	P
USGS	02105769	2018-09-28 04:45	EDT	19500	P
USGS	02105769	2018-09-28 05:00	EDT	19500	P
USGS	02105769	2018-09-28 05:15	EDT	19400	P
USGS	02105769	2018-09-28 05:30	EDT	19400	P
USGS	02105769	2018-09-28 05:45	EDT	19200	P
USGS	02105769	2018-09-28 06:00	EDT	19200	P
USGS	02105769	2018-09-28 06:15	EDT	19100	P
USGS	02105769	2018-09-28 06:30	EDT	19100	P
USGS	02105769	2018-09-28 06:45	EDT	19000	P
USGS	02105769	2018-09-28 07:00	EDT	19000	P
USGS	02105769	2018-09-28 07:15	EDT	18900	P
USGS	02105769	2018-09-28 07:30	EDT	18900	P
USGS	02105769	2018-09-28 07:45	EDT	18800	P
USGS	02105769	2018-09-28 08:00	EDT	18700	P
USGS	02105769	2018-09-28 08:15	EDT	18700	P
USGS	02105769	2018-09-28 08:30	EDT	18600	P
USGS	02105769	2018-09-28 08:45	EDT	18600	P
USGS	02105769	2018-09-28 09:00	EDT	18500	P
USGS	02105769	2018-09-28 09:15	EDT	18400	P
USGS	02105769	2018-09-28 09:30	EDT	18400	P
USGS	02105769	2018-09-28 09:45	EDT	18300	P
USGS	02105769	2018-09-28 10:00	EDT	18200	P
USGS	02105769	2018-09-28 10:15	EDT	18200	P
USGS	02105769	2018-09-28 10:30	EDT	18100	P
USGS	02105769	2018-09-28 10:45	EDT	18100	P
USGS	02105769	2018-09-28 11:00	EDT	18000	P
USGS	02105769	2018-09-28 11:15	EDT	18000	P
USGS	02105769	2018-09-28 11:30	EDT	18000	P
USGS	02105769	2018-09-28 11:45	EDT	17900	P
USGS	02105769	2018-09-28 12:00	EDT	17900	P
USGS	02105769	2018-09-28 12:15	EDT	17800	P
USGS	02105769	2018-09-28 12:30	EDT	17800	P
USGS	02105769	2018-09-28 12:45	EDT	17800	P
USGS	02105769	2018-09-28 13:00	EDT	17700	P
USGS	02105769	2018-09-28 13:15	EDT	17700	P
USGS	02105769	2018-09-28 13:30	EDT	17500	P
USGS	02105769	2018-09-28 13:45	EDT	17500	P
USGS	02105769	2018-09-28 14:00	EDT	17500	P
USGS	02105769	2018-09-28 14:15	EDT	17400	P
USGS	02105769	2018-09-28 14:30	EDT	17400	P
USGS	02105769	2018-09-28 14:45	EDT	17400	P
USGS	02105769	2018-09-28 15:00	EDT	17300	P
USGS	02105769	2018-09-28 15:15	EDT	17300	P
USGS	02105769	2018-09-28 15:30	EDT	17200	P
USGS	02105769	2018-09-28 15:45	EDT	17200	P
USGS	02105769	2018-09-28 16:00	EDT	17200	P
USGS	02105769	2018-09-28 16:15	EDT	17200	P
USGS	02105769	2018-09-28 16:30	EDT	17100	P
USGS	02105769	2018-09-28 16:45	EDT	17100	P
USGS	02105769	2018-09-28 17:00	EDT	17000	P
USGS	02105769	2018-09-28 17:15	EDT	17000	P
USGS	02105769	2018-09-28 17:30	EDT	17000	P
USGS	02105769	2018-09-28 17:45	EDT	17000	P
USGS	02105769	2018-09-28 18:00	EDT	17000	P
USGS	02105769	2018-09-28 18:15	EDT	16900	P
USGS	02105769	2018-09-28 18:30	EDT	16900	P
USGS	02105769	2018-09-28 18:45	EDT	16900	P
USGS	02105769	2018-09-28 19:00	EDT	16900	P
USGS	02105769	2018-09-28 19:15	EDT	16900	P
USGS	02105769	2018-09-28 19:30	EDT	16800	P
USGS	02105769	2018-09-28 19:45	EDT	16800	P
USGS	02105769	2018-09-28 20:00	EDT	16800	P
USGS	02105769	2018-09-28 20:15	EDT	16700	P
USGS	02105769	2018-09-28 20:30	EDT	16700	P
USGS	02105769	2018-09-28 20:45	EDT	16700	P
USGS	02105769	2018-09-28 21:00	EDT	16700	P
USGS	02105769	2018-09-28 21:15	EDT	16600	P
USGS	02105769	2018-09-28 21:30	EDT	16600	P
USGS	02105769	2018-09-28 21:45	EDT	16600	P
USGS	02105769	2018-09-28 22:00	EDT	16600	P
USGS	02105769	2018-09-28 22:15	EDT	16600	P
USGS	02105769	2018-09-28 22:30	EDT	16500	P
USGS	02105769	2018-09-28 22:45	EDT	16500	P
USGS	02105769	2018-09-28 23:00	EDT	16500	P
USGS	02105769	2018-09-28 23:15	EDT	16500	P
USGS	02105769	2018-09-28 23:30	EDT	16400	P
USGS	02105769	2018-09-28 23:45	EDT	16400	P
USGS	02105769	2018-09-29 00:00	EDT	16400	P
USGS	02105769	2018-09-29 00:15	EDT	16400	P
USGS	02105769	2018-09-29 00:30	EDT	16400	P
USGS	02105769	2018-09-29 00:45	EDT	16400	P
USGS	02105769	2018-09-29 01:00	EDT	16300	P
USGS	02105769	2018-09-29 01:15	EDT	16300	P
USGS	02105769	2018-09-29 01:30	EDT	16300	P
USGS	02105769	2018-09-29 01:45	EDT	16300	P
USGS	02105769	2018-09-29 02:00	EDT	16300	P
USGS	02105769	2018-09-29 02:15	EDT	16300	P
USGS	02105769	2018-09-29 02:30	EDT	16300	P
USGS	02105769	2018-09-29 02:45	EDT	16300	P
USGS	02105769	2018-09-29 03:00	EDT	16200	P
USGS	02105769	2018-09-29 03:15	EDT	16200	P
USGS	02105769	2018-09-29 03:30	EDT	16200	P
USGS	02105769	2018-09-29 03:45	EDT	16200	P
USGS	02105769	2018-09-29 04:00	EDT	16100	P
USGS	02105769	2018-09-29 04:15	EDT	16200	P
USGS	02105769	2018-09-29 04:30	EDT	16100	P
USGS	02105769	2018-09-29 04:45	EDT	16100	P
USGS	02105769	2018-09-29 05:00	EDT	16100	P
USGS	02105769	2018-09-29 05:15	EDT	16100	P
USGS	02105769	2018-09-29 05:30	EDT	16100	P
USGS	02105769	2018-09-29 05:45	EDT	16100	P
USGS	02105769	2018-09-29 06:00	EDT	16100	P
USGS	02105769	2018-09-29 06:15	EDT	16000	P
USGS	02105769	2018-09-29 06:30	EDT	16000	P
USGS	02105769	2018-09-29 06:45	EDT	16000	P
USGS	02105769	2018-09-29 07:00	EDT	16000	P
USGS	02105769	2018-09-29 07:15	EDT	16000	P
USGS	02105769	2018-09-29 07:30	EDT	16000	P
USGS	02105769	2018-09-29 07:45	EDT	16000	P
USGS	02105769	2018-09-29 08:00	EDT	16000	P
USGS	02105769	2018-09-29 08:15	EDT	16000	P
USGS	02105769	2018-09-29 08:30	EDT	16000	P
USGS	02105769	2018-09-29 08:45	EDT	16000	P
USGS	02105769	2018-09-29 09:00	EDT	16000	P
USGS	02105769	2018-09-29 09:15	EDT	16000	P
USGS	02105769	2018-09-29 09:30	EDT	16000	P
USGS	02105769	2018-09-29 09:45	EDT	16000	P
USGS	02105769	2018-09-29 10:00	EDT	16000	P
USGS	02105769	2018-09-29 10:15	EDT	16000	P
USGS	02105769	2018-09-29 10:30	EDT	16000	P
USGS	02105769	2018-09-29 10:45	EDT	16000	P
USGS	02105769	2018-09-29 11:00	EDT	16000	P
USGS	02105769	2018-09-29 11:15	EDT	15900	P
USGS	02105769	2018-09-29 11:30	EDT	16000	P
USGS	02105769	2018-09-29 11:45	EDT	16000	P
USGS	02105769	2018-09-29 12:00	EDT	16000	P
USGS	02105769	2018-09-29 12:15	EDT	16000	P
USGS	02105769	2018-09-29 12:30	EDT	15900	P
USGS	02105769	2018-09-29 12:45	EDT	15900	P
USGS	02105769	2018-09-29 13:00	EDT	15900	P
USGS	02105769	2018-09-29 13:15	EDT	15900	P
USGS	02105769	2018-09-29 13:30	EDT	16000	P
USGS	02105769	2018-09-29 13:45	EDT	16000	P
USGS	02105769	2018-09-29 14:00	EDT	15900	P
USGS	02105769	2018-09-29 14:15	EDT	15900	P
USGS	02105769	2018-09-29 14:30	EDT	15900	P
USGS	02105769	2018-09-29 14:45	EDT	15900	P
USGS	02105769	2018-09-29 15:00	EDT	15900	P
USGS	02105769	2018-09-29 15:15	EDT	15900	P
USGS	02105769	2018-09-29 15:30	EDT	15900	P
USGS	02105769	2018-09-29 15:45	EDT	16000	P
USGS	02105769	2018-09-29 16:00	EDT	15900	P
USGS	02105769	2018-09-29 16:15	EDT	15900	P
USGS	02105769	2018-09-29 16:30	EDT	15900	P
USGS	02105769	2018-09-29 16:45	EDT	16000	P
USGS	02105769	2018-09-29 17:00	EDT	15900	P
USGS	02105769	2018-09-29 17:15	EDT	16000	P
USGS	02105769	2018-09-29 17:30	EDT	15900	P
USGS	02105769	2018-09-29 17:45	EDT	15900	P
USGS	02105769	2018-09-29 18:00	EDT	15900	P
USGS	02105769	2018-09-29 18:15	EDT	15900	P
USGS	02105769	2018-09-29 18:30	EDT	15900	P
USGS	02105769	2018-09-29 18:45	EDT	15900	P
USGS	02105769	2018-09-29 19:00	EDT	16000	P
USGS	02105769	2018-09-29 19:15	EDT	15900	P
USGS	02105769	2018-09-29 19:30	EDT	16000	P
