# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2018-10-03 14:57:03 EDT       (caww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 02134500 LUMBER RIVER AT BOARDMAN, NC
# -----------------------------------------------------------------------------------
#
# Data provided for site 02134500
#            TS   parameter     Description
#         89916       00060     Discharge, cubic feet per second
#
# Data-value qualification codes included in this output:
#     P  Provisional data subject to revision.
# 
agency_cd	site_no	datetime	tz_cd	89916_00060	89916_00060_cd
USGS	02134500	2018-09-25 08:30	EDT	11700	P
USGS	02134500	2018-09-25 08:45	EDT	11700	P
USGS	02134500	2018-09-25 09:00	EDT	11600	P
USGS	02134500	2018-09-25 09:15	EDT	11600	P
USGS	02134500	2018-09-25 09:30	EDT	11500	P
USGS	02134500	2018-09-25 09:45	EDT	11500	P
USGS	02134500	2018-09-25 10:00	EDT	11500	P
USGS	02134500	2018-09-25 10:15	EDT	11500	P
USGS	02134500	2018-09-25 10:30	EDT	11400	P
USGS	02134500	2018-09-25 10:45	EDT	11500	P
USGS	02134500	2018-09-25 11:00	EDT	11400	P
USGS	02134500	2018-09-25 11:15	EDT	11400	P
USGS	02134500	2018-09-25 11:30	EDT	11400	P
USGS	02134500	2018-09-25 11:45	EDT	11300	P
USGS	02134500	2018-09-25 12:00	EDT	11300	P
USGS	02134500	2018-09-25 12:15	EDT	11300	P
USGS	02134500	2018-09-25 12:30	EDT	11300	P
USGS	02134500	2018-09-25 12:45	EDT	11200	P
USGS	02134500	2018-09-25 13:00	EDT	11200	P
USGS	02134500	2018-09-25 13:15	EDT	11200	P
USGS	02134500	2018-09-25 13:30	EDT	11100	P
USGS	02134500	2018-09-25 13:45	EDT	11100	P
USGS	02134500	2018-09-25 14:00	EDT	11100	P
USGS	02134500	2018-09-25 14:15	EDT	11000	P
USGS	02134500	2018-09-25 14:30	EDT	11000	P
USGS	02134500	2018-09-25 14:45	EDT	11000	P
USGS	02134500	2018-09-25 15:00	EDT	11000	P
USGS	02134500	2018-09-25 15:15	EDT	10900	P
USGS	02134500	2018-09-25 15:30	EDT	11000	P
USGS	02134500	2018-09-25 15:45	EDT	10900	P
USGS	02134500	2018-09-25 16:00	EDT	10900	P
USGS	02134500	2018-09-25 16:15	EDT	10900	P
USGS	02134500	2018-09-25 16:30	EDT	10800	P
USGS	02134500	2018-09-25 16:45	EDT	10800	P
USGS	02134500	2018-09-25 17:00	EDT	10700	P
USGS	02134500	2018-09-25 17:15	EDT	10700	P
USGS	02134500	2018-09-25 17:30	EDT	10700	P
USGS	02134500	2018-09-25 17:45	EDT	10700	P
USGS	02134500	2018-09-25 18:00	EDT	10700	P
USGS	02134500	2018-09-25 18:15	EDT	10600	P
USGS	02134500	2018-09-25 18:30	EDT	10600	P
USGS	02134500	2018-09-25 18:45	EDT	10600	P
USGS	02134500	2018-09-25 19:00	EDT	10600	P
USGS	02134500	2018-09-25 19:15	EDT	10600	P
USGS	02134500	2018-09-25 19:30	EDT	10500	P
USGS	02134500	2018-09-25 19:45	EDT	10500	P
USGS	02134500	2018-09-25 20:00	EDT	10500	P
USGS	02134500	2018-09-25 20:15	EDT	10400	P
USGS	02134500	2018-09-25 20:30	EDT	10400	P
USGS	02134500	2018-09-25 20:45	EDT	10400	P
USGS	02134500	2018-09-25 21:00	EDT	10400	P
USGS	02134500	2018-09-25 21:15	EDT	10300	P
USGS	02134500	2018-09-25 21:30	EDT	10300	P
USGS	02134500	2018-09-25 21:45	EDT	10300	P
USGS	02134500	2018-09-25 22:00	EDT	10300	P
USGS	02134500	2018-09-25 22:15	EDT	10300	P
USGS	02134500	2018-09-25 22:30	EDT	10200	P
USGS	02134500	2018-09-25 22:45	EDT	10200	P
USGS	02134500	2018-09-25 23:00	EDT	10200	P
USGS	02134500	2018-09-25 23:15	EDT	10100	P
USGS	02134500	2018-09-25 23:30	EDT	10100	P
USGS	02134500	2018-09-25 23:45	EDT	10100	P
USGS	02134500	2018-09-26 00:00	EDT	10100	P
USGS	02134500	2018-09-26 00:15	EDT	10000	P
USGS	02134500	2018-09-26 00:30	EDT	10000	P
USGS	02134500	2018-09-26 00:45	EDT	10000	P
USGS	02134500	2018-09-26 01:00	EDT	9970	P
USGS	02134500	2018-09-26 01:15	EDT	9970	P
USGS	02134500	2018-09-26 01:30	EDT	9930	P
USGS	02134500	2018-09-26 01:45	EDT	9930	P
USGS	02134500	2018-09-26 02:00	EDT	9900	P
USGS	02134500	2018-09-26 02:15	EDT	9860	P
USGS	02134500	2018-09-26 02:30	EDT	9830	P
USGS	02134500	2018-09-26 02:45	EDT	9830	P
USGS	02134500	2018-09-26 03:00	EDT	9790	P
USGS	02134500	2018-09-26 03:15	EDT	9790	P
USGS	02134500	2018-09-26 03:30	EDT	9760	P
USGS	02134500	2018-09-26 03:45	EDT	9720	P
USGS	02134500	2018-09-26 04:00	EDT	9690	P
USGS	02134500	2018-09-26 04:15	EDT	9690	P
USGS	02134500	2018-09-26 04:30	EDT	9690	P
USGS	02134500	2018-09-26 04:45	EDT	9650	P
USGS	02134500	2018-09-26 05:00	EDT	9650	P
USGS	02134500	2018-09-26 05:15	EDT	9620	P
USGS	02134500	2018-09-26 05:30	EDT	9580	P
USGS	02134500	2018-09-26 05:45	EDT	9550	P
USGS	02134500	2018-09-26 06:00	EDT	9550	P
USGS	02134500	2018-09-26 06:15	EDT	9510	P
USGS	02134500	2018-09-26 06:30	EDT	9480	P
USGS	02134500	2018-09-26 06:45	EDT	9440	P
USGS	02134500	2018-09-26 07:00	EDT	9440	P
USGS	02134500	2018-09-26 07:15	EDT	9410	P
USGS	02134500	2018-09-26 07:30	EDT	9410	P
USGS	02134500	2018-09-26 07:45	EDT	9410	P
USGS	02134500	2018-09-26 08:00	EDT	9340	P
USGS	02134500	2018-09-26 08:15	EDT	9340	P
USGS	02134500	2018-09-26 08:30	EDT	9310	P
USGS	02134500	2018-09-26 08:45	EDT	9310	P
USGS	02134500	2018-09-26 09:00	EDT	9270	P
USGS	02134500	2018-09-26 09:15	EDT	9240	P
USGS	02134500	2018-09-26 09:30	EDT	9240	P
USGS	02134500	2018-09-26 09:45	EDT	9200	P
USGS	02134500	2018-09-26 10:00	EDT	9200	P
USGS	02134500	2018-09-26 10:15	EDT	9200	P
USGS	02134500	2018-09-26 10:30	EDT	9170	P
USGS	02134500	2018-09-26 10:45	EDT	9170	P
USGS	02134500	2018-09-26 11:00	EDT	9140	P
USGS	02134500	2018-09-26 11:15	EDT	9100	P
USGS	02134500	2018-09-26 11:30	EDT	9070	P
USGS	02134500	2018-09-26 11:45	EDT	9040	P
USGS	02134500	2018-09-26 12:00	EDT	9040	P
USGS	02134500	2018-09-26 12:15	EDT	9000	P
USGS	02134500	2018-09-26 12:30	EDT	9000	P
USGS	02134500	2018-09-26 12:45	EDT	8970	P
USGS	02134500	2018-09-26 13:00	EDT	8940	P
USGS	02134500	2018-09-26 13:15	EDT	8940	P
USGS	02134500	2018-09-26 13:30	EDT	8900	P
USGS	02134500	2018-09-26 13:45	EDT	8870	P
USGS	02134500	2018-09-26 14:00	EDT	8870	P
USGS	02134500	2018-09-26 14:15	EDT	8840	P
USGS	02134500	2018-09-26 14:30	EDT	8800	P
USGS	02134500	2018-09-26 14:45	EDT	8800	P
USGS	02134500	2018-09-26 15:00	EDT	8800	P
USGS	02134500	2018-09-26 15:15	EDT	8770	P
USGS	02134500	2018-09-26 15:30	EDT	8740	P
USGS	02134500	2018-09-26 15:45	EDT	8710	P
USGS	02134500	2018-09-26 16:00	EDT	8710	P
USGS	02134500	2018-09-26 16:15	EDT	8670	P
USGS	02134500	2018-09-26 16:30	EDT	8670	P
USGS	02134500	2018-09-26 16:45	EDT	8610	P
USGS	02134500	2018-09-26 17:00	EDT	8610	P
USGS	02134500	2018-09-26 17:15	EDT	8580	P
USGS	02134500	2018-09-26 17:30	EDT	8580	P
USGS	02134500	2018-09-26 17:45	EDT	8540	P
USGS	02134500	2018-09-26 18:00	EDT	8540	P
USGS	02134500	2018-09-26 18:15	EDT	8510	P
USGS	02134500	2018-09-26 18:30	EDT	8480	P
USGS	02134500	2018-09-26 18:45	EDT	8480	P
USGS	02134500	2018-09-26 19:00	EDT	8450	P
USGS	02134500	2018-09-26 19:15	EDT	8450	P
USGS	02134500	2018-09-26 19:30	EDT	8420	P
USGS	02134500	2018-09-26 19:45	EDT	8380	P
USGS	02134500	2018-09-26 20:00	EDT	8380	P
USGS	02134500	2018-09-26 20:15	EDT	8350	P
USGS	02134500	2018-09-26 20:30	EDT	8320	P
USGS	02134500	2018-09-26 20:45	EDT	8320	P
USGS	02134500	2018-09-26 21:00	EDT	8290	P
USGS	02134500	2018-09-26 21:15	EDT	8260	P
USGS	02134500	2018-09-26 21:30	EDT	8260	P
USGS	02134500	2018-09-26 21:45	EDT	8230	P
USGS	02134500	2018-09-26 22:00	EDT	8230	P
USGS	02134500	2018-09-26 22:15	EDT	8190	P
USGS	02134500	2018-09-26 22:30	EDT	8190	P
USGS	02134500	2018-09-26 22:45	EDT	8160	P
USGS	02134500	2018-09-26 23:00	EDT	8130	P
USGS	02134500	2018-09-26 23:15	EDT	8130	P
USGS	02134500	2018-09-26 23:30	EDT	8100	P
USGS	02134500	2018-09-26 23:45	EDT	8070	P
USGS	02134500	2018-09-27 00:00	EDT	8070	P
USGS	02134500	2018-09-27 00:15	EDT	8040	P
USGS	02134500	2018-09-27 00:30	EDT	8010	P
USGS	02134500	2018-09-27 00:45	EDT	8010	P
USGS	02134500	2018-09-27 01:00	EDT	7980	P
USGS	02134500	2018-09-27 01:15	EDT	7950	P
USGS	02134500	2018-09-27 01:30	EDT	7950	P
USGS	02134500	2018-09-27 01:45	EDT	7950	P
USGS	02134500	2018-09-27 02:00	EDT	7920	P
USGS	02134500	2018-09-27 02:15	EDT	7890	P
USGS	02134500	2018-09-27 02:30	EDT	7890	P
USGS	02134500	2018-09-27 02:45	EDT	7850	P
USGS	02134500	2018-09-27 03:00	EDT	7850	P
USGS	02134500	2018-09-27 03:15	EDT	7820	P
USGS	02134500	2018-09-27 03:30	EDT	7790	P
USGS	02134500	2018-09-27 03:45	EDT	7790	P
USGS	02134500	2018-09-27 04:00	EDT	7760	P
USGS	02134500	2018-09-27 04:15	EDT	7760	P
USGS	02134500	2018-09-27 04:30	EDT	7730	P
USGS	02134500	2018-09-27 04:45	EDT	7730	P
USGS	02134500	2018-09-27 05:00	EDT	7700	P
USGS	02134500	2018-09-27 05:15	EDT	7700	P
USGS	02134500	2018-09-27 05:30	EDT	7670	P
USGS	02134500	2018-09-27 05:45	EDT	7640	P
USGS	02134500	2018-09-27 06:00	EDT	7640	P
USGS	02134500	2018-09-27 06:15	EDT	7610	P
USGS	02134500	2018-09-27 06:30	EDT	7580	P
USGS	02134500	2018-09-27 06:45	EDT	7580	P
USGS	02134500	2018-09-27 07:00	EDT	7580	P
USGS	02134500	2018-09-27 07:15	EDT	7550	P
USGS	02134500	2018-09-27 07:30	EDT	7520	P
USGS	02134500	2018-09-27 07:45	EDT	7520	P
USGS	02134500	2018-09-27 08:00	EDT	7520	P
USGS	02134500	2018-09-27 08:15	EDT	7500	P
USGS	02134500	2018-09-27 08:30	EDT	7470	P
USGS	02134500	2018-09-27 08:45	EDT	7470	P
USGS	02134500	2018-09-27 09:00	EDT	7440	P
USGS	02134500	2018-09-27 09:15	EDT	7440	P
USGS	02134500	2018-09-27 09:30	EDT	7410	P
USGS	02134500	2018-09-27 09:45	EDT	7380	P
USGS	02134500	2018-09-27 10:00	EDT	7380	P
USGS	02134500	2018-09-27 10:15	EDT	7350	P
USGS	02134500	2018-09-27 10:30	EDT	7350	P
USGS	02134500	2018-09-27 10:45	EDT	7350	P
USGS	02134500	2018-09-27 11:00	EDT	7320	P
USGS	02134500	2018-09-27 11:15	EDT	7290	P
USGS	02134500	2018-09-27 11:30	EDT	7290	P
USGS	02134500	2018-09-27 11:45	EDT	7260	P
USGS	02134500	2018-09-27 12:00	EDT	7260	P
USGS	02134500	2018-09-27 12:15	EDT	7230	P
USGS	02134500	2018-09-27 12:30	EDT	7230	P
USGS	02134500	2018-09-27 12:45	EDT	7200	P
USGS	02134500	2018-09-27 13:00	EDT	7180	P
USGS	02134500	2018-09-27 13:15	EDT	7180	P
USGS	02134500	2018-09-27 13:30	EDT	7150	P
USGS	02134500	2018-09-27 13:45	EDT	7150	P
USGS	02134500	2018-09-27 14:00	EDT	7150	P
USGS	02134500	2018-09-27 14:15	EDT	7120	P
USGS	02134500	2018-09-27 14:30	EDT	7090	P
USGS	02134500	2018-09-27 14:45	EDT	7090	P
USGS	02134500	2018-09-27 15:00	EDT	7060	P
USGS	02134500	2018-09-27 15:15	EDT	7030	P
USGS	02134500	2018-09-27 15:30	EDT	7060	P
USGS	02134500	2018-09-27 15:45	EDT	7010	P
USGS	02134500	2018-09-27 16:00	EDT	7010	P
USGS	02134500	2018-09-27 16:15	EDT	7010	P
USGS	02134500	2018-09-27 16:30	EDT	6980	P
USGS	02134500	2018-09-27 16:45	EDT	6980	P
USGS	02134500	2018-09-27 17:00	EDT	6980	P
USGS	02134500	2018-09-27 17:15	EDT	6950	P
USGS	02134500	2018-09-27 17:30	EDT	6920	P
USGS	02134500	2018-09-27 17:45	EDT	6920	P
USGS	02134500	2018-09-27 18:00	EDT	6890	P
USGS	02134500	2018-09-27 18:15	EDT	6890	P
USGS	02134500	2018-09-27 18:30	EDT	6870	P
USGS	02134500	2018-09-27 18:45	EDT	6870	P
USGS	02134500	2018-09-27 19:00	EDT	6840	P
USGS	02134500	2018-09-27 19:15	EDT	6840	P
USGS	02134500	2018-09-27 19:30	EDT	6810	P
USGS	02134500	2018-09-27 19:45	EDT	6810	P
USGS	02134500	2018-09-27 20:00	EDT	6780	P
USGS	02134500	2018-09-27 20:15	EDT	6780	P
USGS	02134500	2018-09-27 20:30	EDT	6780	P
USGS	02134500	2018-09-27 20:45	EDT	6750	P
USGS	02134500	2018-09-27 21:00	EDT	6730	P
USGS	02134500	2018-09-27 21:15	EDT	6730	P
USGS	02134500	2018-09-27 21:30	EDT	6700	P
USGS	02134500	2018-09-27 21:45	EDT	6730	P
USGS	02134500	2018-09-27 22:00	EDT	6700	P
USGS	02134500	2018-09-27 22:15	EDT	6670	P
USGS	02134500	2018-09-27 22:30	EDT	6670	P
USGS	02134500	2018-09-27 22:45	EDT	6650	P
USGS	02134500	2018-09-27 23:00	EDT	6650	P
USGS	02134500	2018-09-27 23:15	EDT	6620	P
USGS	02134500	2018-09-27 23:30	EDT	6620	P
USGS	02134500	2018-09-27 23:45	EDT	6590	P
USGS	02134500	2018-09-28 00:00	EDT	6590	P
USGS	02134500	2018-09-28 00:15	EDT	6590	P
USGS	02134500	2018-09-28 00:30	EDT	6560	P
USGS	02134500	2018-09-28 00:45	EDT	6560	P
USGS	02134500	2018-09-28 01:00	EDT	6560	P
USGS	02134500	2018-09-28 01:15	EDT	6540	P
USGS	02134500	2018-09-28 01:30	EDT	6540	P
USGS	02134500	2018-09-28 01:45	EDT	6540	P
USGS	02134500	2018-09-28 02:00	EDT	6510	P
USGS	02134500	2018-09-28 02:15	EDT	6510	P
USGS	02134500	2018-09-28 02:30	EDT	6510	P
USGS	02134500	2018-09-28 02:45	EDT	6480	P
USGS	02134500	2018-09-28 03:00	EDT	6480	P
USGS	02134500	2018-09-28 03:15	EDT	6460	P
USGS	02134500	2018-09-28 03:30	EDT	6460	P
USGS	02134500	2018-09-28 03:45	EDT	6460	P
USGS	02134500	2018-09-28 04:00	EDT	6430	P
USGS	02134500	2018-09-28 04:15	EDT	6430	P
USGS	02134500	2018-09-28 04:30	EDT	6400	P
USGS	02134500	2018-09-28 04:45	EDT	6400	P
USGS	02134500	2018-09-28 05:00	EDT	6380	P
USGS	02134500	2018-09-28 05:15	EDT	6380	P
USGS	02134500	2018-09-28 05:30	EDT	6350	P
USGS	02134500	2018-09-28 05:45	EDT	6350	P
USGS	02134500	2018-09-28 06:00	EDT	6350	P
USGS	02134500	2018-09-28 06:15	EDT	6320	P
USGS	02134500	2018-09-28 06:30	EDT	6320	P
USGS	02134500	2018-09-28 06:45	EDT	6300	P
USGS	02134500	2018-09-28 07:00	EDT	6300	P
USGS	02134500	2018-09-28 07:15	EDT	6300	P
USGS	02134500	2018-09-28 07:30	EDT	6270	P
USGS	02134500	2018-09-28 07:45	EDT	6270	P
USGS	02134500	2018-09-28 08:00	EDT	6250	P
USGS	02134500	2018-09-28 08:15	EDT	6250	P
USGS	02134500	2018-09-28 08:30	EDT	6250	P
USGS	02134500	2018-09-28 08:45	EDT	6220	P
USGS	02134500	2018-09-28 09:00	EDT	6220	P
USGS	02134500	2018-09-28 09:15	EDT	6220	P
USGS	02134500	2018-09-28 09:30	EDT	6220	P
USGS	02134500	2018-09-28 09:45	EDT	6190	P
USGS	02134500	2018-09-28 10:00	EDT	6190	P
USGS	02134500	2018-09-28 10:15	EDT	6170	P
USGS	02134500	2018-09-28 10:30	EDT	6170	P
USGS	02134500	2018-09-28 10:45	EDT	6140	P
USGS	02134500	2018-09-28 11:00	EDT	6140	P
USGS	02134500	2018-09-28 11:15	EDT	6120	P
USGS	02134500	2018-09-28 11:30	EDT	6120	P
USGS	02134500	2018-09-28 11:45	EDT	6120	P
USGS	02134500	2018-09-28 12:00	EDT	6090	P
USGS	02134500	2018-09-28 12:15	EDT	6090	P
USGS	02134500	2018-09-28 12:30	EDT	6070	P
USGS	02134500	2018-09-28 12:45	EDT	6070	P
USGS	02134500	2018-09-28 13:00	EDT	6040	P
USGS	02134500	2018-09-28 13:15	EDT	6040	P
USGS	02134500	2018-09-28 13:30	EDT	6040	P
USGS	02134500	2018-09-28 13:45	EDT	6010	P
USGS	02134500	2018-09-28 14:00	EDT	6010	P
USGS	02134500	2018-09-28 14:15	EDT	5990	P
USGS	02134500	2018-09-28 14:30	EDT	5990	P
USGS	02134500	2018-09-28 14:45	EDT	5960	P
USGS	02134500	2018-09-28 15:00	EDT	5960	P
USGS	02134500	2018-09-28 15:15	EDT	5960	P
USGS	02134500	2018-09-28 15:30	EDT	5940	P
USGS	02134500	2018-09-28 15:45	EDT	5940	P
USGS	02134500	2018-09-28 16:00	EDT	5910	P
USGS	02134500	2018-09-28 16:15	EDT	5890	P
USGS	02134500	2018-09-28 16:30	EDT	5890	P
USGS	02134500	2018-09-28 16:45	EDT	5890	P
USGS	02134500	2018-09-28 17:00	EDT	5860	P
USGS	02134500	2018-09-28 17:15	EDT	5860	P
USGS	02134500	2018-09-28 17:30	EDT	5840	P
USGS	02134500	2018-09-28 17:45	EDT	5840	P
USGS	02134500	2018-09-28 18:00	EDT	5840	P
USGS	02134500	2018-09-28 18:15	EDT	5810	P
USGS	02134500	2018-09-28 18:30	EDT	5810	P
USGS	02134500	2018-09-28 18:45	EDT	5810	P
USGS	02134500	2018-09-28 19:00	EDT	5790	P
USGS	02134500	2018-09-28 19:15	EDT	5760	P
USGS	02134500	2018-09-28 19:30	EDT	5760	P
USGS	02134500	2018-09-28 19:45	EDT	5760	P
USGS	02134500	2018-09-28 20:00	EDT	5740	P
USGS	02134500	2018-09-28 20:15	EDT	5740	P
USGS	02134500	2018-09-28 20:30	EDT	5710	P
USGS	02134500	2018-09-28 20:45	EDT	5710	P
USGS	02134500	2018-09-28 21:00	EDT	5690	P
USGS	02134500	2018-09-28 21:15	EDT	5710	P
USGS	02134500	2018-09-28 21:30	EDT	5690	P
USGS	02134500	2018-09-28 21:45	EDT	5690	P
USGS	02134500	2018-09-28 22:00	EDT	5670	P
USGS	02134500	2018-09-28 22:15	EDT	5670	P
USGS	02134500	2018-09-28 22:30	EDT	5670	P
USGS	02134500	2018-09-28 22:45	EDT	5640	P
USGS	02134500	2018-09-28 23:00	EDT	5620	P
USGS	02134500	2018-09-28 23:15	EDT	5620	P
USGS	02134500	2018-09-28 23:30	EDT	5590	P
USGS	02134500	2018-09-28 23:45	EDT	5590	P
USGS	02134500	2018-09-29 00:00	EDT	5590	P
USGS	02134500	2018-09-29 00:15	EDT	5570	P
USGS	02134500	2018-09-29 00:30	EDT	5570	P
USGS	02134500	2018-09-29 00:45	EDT	5570	P
USGS	02134500	2018-09-29 01:00	EDT	5540	P
USGS	02134500	2018-09-29 01:15	EDT	5540	P
USGS	02134500	2018-09-29 01:30	EDT	5540	P
USGS	02134500	2018-09-29 01:45	EDT	5520	P
USGS	02134500	2018-09-29 02:00	EDT	5520	P
USGS	02134500	2018-09-29 02:15	EDT	5520	P
USGS	02134500	2018-09-29 02:30	EDT	5500	P
USGS	02134500	2018-09-29 02:45	EDT	5500	P
USGS	02134500	2018-09-29 03:00	EDT	5500	P
USGS	02134500	2018-09-29 03:15	EDT	5470	P
USGS	02134500	2018-09-29 03:30	EDT	5470	P
USGS	02134500	2018-09-29 03:45	EDT	5450	P
USGS	02134500	2018-09-29 04:00	EDT	5450	P
USGS	02134500	2018-09-29 04:15	EDT	5450	P
USGS	02134500	2018-09-29 04:30	EDT	5420	P
USGS	02134500	2018-09-29 04:45	EDT	5420	P
USGS	02134500	2018-09-29 05:00	EDT	5420	P
USGS	02134500	2018-09-29 05:15	EDT	5420	P
USGS	02134500	2018-09-29 05:30	EDT	5400	P
USGS	02134500	2018-09-29 05:45	EDT	5400	P
USGS	02134500	2018-09-29 06:00	EDT	5400	P
USGS	02134500	2018-09-29 06:15	EDT	5380	P
USGS	02134500	2018-09-29 06:30	EDT	5380	P
USGS	02134500	2018-09-29 06:45	EDT	5380	P
USGS	02134500	2018-09-29 07:00	EDT	5350	P
USGS	02134500	2018-09-29 07:15	EDT	5350	P
USGS	02134500	2018-09-29 07:30	EDT	5330	P
USGS	02134500	2018-09-29 07:45	EDT	5330	P
USGS	02134500	2018-09-29 08:00	EDT	5330	P
USGS	02134500	2018-09-29 08:15	EDT	5330	P
USGS	02134500	2018-09-29 08:30	EDT	5310	P
USGS	02134500	2018-09-29 08:45	EDT	5310	P
USGS	02134500	2018-09-29 09:00	EDT	5280	P
USGS	02134500	2018-09-29 09:15	EDT	5310	P
USGS	02134500	2018-09-29 09:30	EDT	5280	P
USGS	02134500	2018-09-29 09:45	EDT	5280	P
USGS	02134500	2018-09-29 10:00	EDT	5280	P
USGS	02134500	2018-09-29 10:15	EDT	5280	P
USGS	02134500	2018-09-29 10:30	EDT	5260	P
USGS	02134500	2018-09-29 10:45	EDT	5260	P
USGS	02134500	2018-09-29 11:00	EDT	5260	P
USGS	02134500	2018-09-29 11:15	EDT	5240	P
USGS	02134500	2018-09-29 11:30	EDT	5240	P
USGS	02134500	2018-09-29 11:45	EDT	5240	P
USGS	02134500	2018-09-29 12:00	EDT	5210	P
USGS	02134500	2018-09-29 12:15	EDT	5210	P
USGS	02134500	2018-09-29 12:30	EDT	5210	P
USGS	02134500	2018-09-29 12:45	EDT	5190	P
USGS	02134500	2018-09-29 13:00	EDT	5190	P
USGS	02134500	2018-09-29 13:15	EDT	5190	P
USGS	02134500	2018-09-29 13:30	EDT	5170	P
USGS	02134500	2018-09-29 13:45	EDT	5170	P
USGS	02134500	2018-09-29 14:00	EDT	5170	P
USGS	02134500	2018-09-29 14:15	EDT	5170	P
USGS	02134500	2018-09-29 14:30	EDT	5150	P
USGS	02134500	2018-09-29 14:45	EDT	5150	P
USGS	02134500	2018-09-29 15:00	EDT	5150	P
USGS	02134500	2018-09-29 15:15	EDT	5120	P
USGS	02134500	2018-09-29 15:30	EDT	5120	P
USGS	02134500	2018-09-29 15:45	EDT	5100	P
USGS	02134500	2018-09-29 16:00	EDT	5100	P
USGS	02134500	2018-09-29 16:15	EDT	4940	P
USGS	02134500	2018-09-29 16:30	EDT	5080	P
USGS	02134500	2018-09-29 16:45	EDT	5080	P
USGS	02134500	2018-09-29 17:00	EDT	5080	P
USGS	02134500	2018-09-29 17:15	EDT	5080	P
USGS	02134500	2018-09-29 17:30	EDT	5050	P
USGS	02134500	2018-09-29 17:45	EDT	5050	P
USGS	02134500	2018-09-29 18:00	EDT	5050	P
USGS	02134500	2018-09-29 18:15	EDT	5030	P
USGS	02134500	2018-09-29 18:30	EDT	5030	P
USGS	02134500	2018-09-29 18:45	EDT	5010	P
USGS	02134500	2018-09-29 19:00	EDT	5010	P
USGS	02134500	2018-09-29 19:15	EDT	5010	P
USGS	02134500	2018-09-29 19:30	EDT	4990	P
USGS	02134500	2018-09-29 19:45	EDT	4990	P
